"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"H64K7SZY","journalArticle","2020","Nguyen, Q.H.; Ly, H.-B.; Le, T.-T.; Nguyen, T.-A.; Phan, V.-H.; Tran, V.Q.; Pham, B.T.","Parametric investigation of particle swarm optimization to improve the performance of the adaptive neuro-fuzzy inference system in determining the buckling capacity of circular opening steel beams","Materials","","","10.3390/ma13102210","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085621492&doi=10.3390%2fma13102210&partnerID=40&md5=263dfa353fdeef2e48825c4b80d86f88","","2020","2022-05-04 14:58:10","2022-05-15 20:11:21","","","","10","13","","","","","","","","","","","","","Scopus","","","","","<p>Cited By :14</p>; <p>Export Date: 4 May 2022</p>; <p>https://www.mdpi.com/1996-1944/13/10/2210/pdf</p>","","","excluded; not an application","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WAHRW5DX","journalArticle","2020","Nguyen, T.T.; Pham, L.H.; Mohammadi, F.; Kien, L.C.","Optimal scheduling of large-scale wind-hydro-thermal systems with fixed-head short-term model","Applied Sciences (Switzerland)","","","10.3390/APP10082964","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084698432&doi=10.3390%2fAPP10082964&partnerID=40&md5=7332bf0ef044a83f407f35c3e9e74925","","2020","2022-05-04 14:35:42","2022-05-15 20:11:12","","","","8","10","","","","","","","","","","","","","Scopus","","","","","<p>Cited By :15</p>; <p>Export Date: 4 May 2022</p>; <p>https://www.mdpi.com/2076-3417/10/8/2964/pdf</p>","","","excluded; not an application","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LZHGYAYW","journalArticle","2020","Niu, W.-J.; Feng, Z.-K.; Chen, Y.-B.; Min, Y.-W.; Liu, S.; Li, B.-J.","Multireservoir system operation optimization by hybrid quantum-behaved particle swarm optimization and heuristic constraint handling technique","Journal of Hydrology","","","10.1016/j.jhydrol.2020.125477","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85090422676&doi=10.1016%2fj.jhydrol.2020.125477&partnerID=40&md5=c7687f9f2a873468c680f918113795ec","","2020","2022-05-04 11:37:58","2022-05-15 20:11:04","","","","","590","","","","","","","","","","","","","Scopus","","","","","<p>Cited By :15</p>; <p>Export Date: 4 May 2022</p>","C:\Users\Work\Zotero\storage\EVTD55GU\Niu et al. - 2020 - Multireservoir system operation optimization by hy.pdf","","included","Quantum-behaved particle swarm optimization; Elite-guide strategy; Heuristic constraint handling technique; Multireservoir system operation optimization; Mutation operator","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5M3AWUI4","thesis","2020","Ogunwole, Emmanuel Idowu","Optimal placement of statcom controllers with metaheuristic algorithms for network power loss reduction and voltage profile deviation minimization.","","","","","https://researchspace.ukzn.ac.za/handle/10413/19086","Transmission system is a series of interconnected lines that enable the bulk movement of electrical power from a generating station to an electrical substation. This system suffers from unavoidable power losses and consequently voltage profile deviation which affects the overall efficiency of the system; hence the need to reduce these losses and voltage magnitude deviations. The existing methods of incorporation of static synchronous compensator (STATCOM) controllers to solve these problems suffer from incorrect location and sizing, which could bring about insignificant reduction in transmission network losses and voltage magnitude deviations. Hence, this research aims to reduce transmission network losses and voltage magnitude deviation in transmission network by suitable allocation of STATCOM controller using firefly algorithm (FA) and particle swarm optimization (PSO). A mathematical steady-state STATCOM power injection model was formulated from one voltage source representation to generate new set of equations, which was incorporated into the Newton-Raphson (NR) load flow solution algorithm and then optimized using PSO and FA. The approach was applied to IEEE 14-bus network and simulations were performed using MATLAB program. The results showed that the best STATCOM controller locations in the system after optimization were at bus 11 and 9 with the injection of shunt reactive power of 8.96 MVAr, and 9.54 MVAr with PSO and FA, respectively. The total active power loss for the network under consideration at steady state, with STATCOM only and STATCOM controller optimized using PSO and FA, were 6.251 MW, 6.075 MW, 5.819 MW and 5.581 MW, respectively. The corresponding reactive power were 14.256 MVAr, 13.857 MVAr, 12.954 MVAr and 12.156 MVAr, respectively. In addition, bus voltage profile improvement indicates the effectiveness of metaheuristic methods of STATCOM optimization. However, FA gave a better power loss and voltage magnitude deviations minimizations over PSO. The study concluded that FA is more effective as an optimization technique for suitably locating and sizing of STATCOM controller on a power transmission system.","2020","2022-05-03 17:15:44","2022-05-15 20:10:27","2022-05-03 17:15:44","","","","","","","","","","","","","","en","","Thesis","","","ukzn-dspace.ukzn.ac.za","","Accepted: 2021-01-27T11:21:04Z","","C:\Users\Work\Zotero\storage\D3CD3ZRR\Ogunwole - 2020 - Optimal placement of statcom controllers with meta.pdf; C:\Users\Work\Zotero\storage\WZF6PLBB\19086.html","","excluded; not a primary study","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FJFE4LRT","journalArticle","2020","Ohzeki, M.","Breaking limitation of quantum annealer in solving optimization problems under constraints","Scientific Reports","","","10.1038/s41598-020-60022-5","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85079818902&doi=10.1038%2fs41598-020-60022-5&partnerID=40&md5=addcb8f213ecdc2de22cd15a8111cf41","","2020","2022-05-11 15:25:55","2022-05-15 20:10:20","","","","1","10","","","","","","","","","","","","","Scopus","","","","","<p>Cited By :6</p>; <p>Cited By :6</p>; <p>Export Date: 11 May 2022</p>; <p>Export Date: 11 May 2022</p>; <p>https://www.nature.com/articles/s41598-020-60022-5.pdf</p>; <p>https://www.nature.com/articles/s41598-020-60022-5.pdf</p>","","","included","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WT4X76U2","journalArticle","2020","Okada, S.; Ohzeki, M.; Tanaka, K.","Efficient Quantum and Simulated Annealing of Potts Models Using a Half-hot Constraint","Journal of the Physical Society of Japan","","","10.7566/JPSJ.89.094801","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85090161584&doi=10.7566%2fJPSJ.89.094801&partnerID=40&md5=427d1181ffcf2c145498e7959f1e9dbb","","2020","2022-05-11 15:25:57","2022-05-15 20:10:01","","","","9","89","","","","","","","","","","","","","Scopus","","","","","<p>Cited By :3</p>; <p>Export Date: 11 May 2022</p>; <p>http://arxiv.org/pdf/1904.01522</p>","","","excluded; not an application","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2XEUF4K3","journalArticle","2020","Olasupo, T.O.; Otero, C.E.","The Impacts of Node Orientation on Radio Propagation Models for Airborne-Deployed Sensor Networks in Large-Scale Tree Vegetation Terrains","IEEE Transactions on Systems, Man, and Cybernetics: Systems","","","10.1109/TSMC.2017.2737473","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85028463277&doi=10.1109%2fTSMC.2017.2737473&partnerID=40&md5=94636aa70ea4f485a01b612ad1eaf2d2","","2020","2022-05-04 14:46:43","2022-05-15 20:09:38","","256-269","","1","50","","","","","","","","","","","","","Scopus","","","","","<p>Cited By :8</p>; <p>Export Date: 4 May 2022</p>","","","excluded; not an application","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8Z7D6QS8","journalArticle","2020","Olivieri de Souza, B.J.; Endler, M.","Evaluating flight coordination approaches of UAV squads for WSN data collection enhancing the internet range on WSN data collection","Journal of Internet Services and Applications","","","10.1186/s13174-020-00125-4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85088238153&doi=10.1186%2fs13174-020-00125-4&partnerID=40&md5=5a631e18087308dffa381afbf662a8fb","","2020","2022-05-04 14:46:26","2022-05-15 20:09:34","","","","1","11","","","","","","","","","","","","","Scopus","","","","","<p>Cited By :3</p>; <p>Export Date: 4 May 2022</p>; <p>https://jisajournal.springeropen.com/track/pdf/10.1186/s13174-020-00125-4</p>; <p>https://jisajournal.springeropen.com/track/pdf/10.1186/s13174-020-00125-4</p>","","","excluded; not an application","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"L94WJXUE","journalArticle","2020","Ordóñez-De León, B.; Aceves-Fernandez, M.A.; Fernandez-Fraga, S.M.; Ramos-Arreguín, J.M.; Gorrostieta-Hurtado, E.","An improved particle swarm optimization (PSO): method to enhance modeling of airborne particulate matter (PM10)","Evolving Systems","","","10.1007/s12530-019-09263-y","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85067265593&doi=10.1007%2fs12530-019-09263-y&partnerID=40&md5=89867162920ead4de15803667ba87023","","2020","2022-05-04 14:58:03","2022-05-15 20:09:29","","615-624","","4","11","","","","","","","","","","","","","Scopus","","","","","<p>Cited By :5</p>; <p>Export Date: 4 May 2022</p>","","","excluded; not an application","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MKHPAI2G","journalArticle","2020","Padhi, S.; Panigrahi, B.P.; Dash, D.","Solving Dynamic Economic Emission Dispatch Problem with Uncertainty of Wind and Load Using Whale Optimization Algorithm","Journal of The Institution of Engineers (India): Series B","","","10.1007/s40031-020-00435-y","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85079864308&doi=10.1007%2fs40031-020-00435-y&partnerID=40&md5=2da785c17ddb91e0251bbe70a1145e86","","2020","2022-05-04 12:22:45","2022-05-15 20:09:22","","65-78","","1","101","","","","","","","","","","","","","Scopus","","","","","<p>Cited By :5</p>; <p>Cited By :5</p>; <p>Export Date: 4 May 2022</p>; <p>Export Date: 4 May 2022</p>","","","excluded; not an application","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MAM6NMPZ","journalArticle","2020","Peng, Y.; Lei, K.; Yang, X.; Peng, J.","Improved Chaotic Quantum-Behaved Particle Swarm Optimization Algorithm for Fuzzy Neural Network and Its Application","Mathematical Problems in Engineering","","","10.1155/2020/9464593","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85083027002&doi=10.1155%2f2020%2f9464593&partnerID=40&md5=88c2f124e2571a64d568b3b82001130f","","2020","2022-05-04 12:41:02","2022-05-15 20:09:14","","","","","2020","","","","","","","","","","","","","Scopus","","","","","<p>Cited By :2</p>; <p>Export Date: 4 May 2022</p>; <p>https://downloads.hindawi.com/journals/mpe/2020/9464593.pdf</p>","","","included","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"M454FRB3","journalArticle","2020","Phan, G.T.T.; Do, Q.B.; Ngo, Q.H.; Tran, T.A.; Tran, H.-N.","Application of differential evolution algorithm for fuel loading optimization of the DNRR research reactor","Nuclear Engineering and Design","","","10.1016/j.nucengdes.2020.110582","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85080866863&doi=10.1016%2fj.nucengdes.2020.110582&partnerID=40&md5=669af32306eef57395d6c013885e6b12","","2020","2022-05-04 14:53:18","2022-05-15 20:08:51","","","","","362","","","","","","","","","","","","","Scopus","","","","","<p>Cited By :4</p>; <p>Export Date: 4 May 2022</p>","","","excluded; not an application","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YHNAIWJC","conferencePaper","2020","Pignaton De Freitas, E.; Da Costa, L.A.L.F.; Felipe Emygdio De Melo, C.; Basso, M.; Rodrigues Vizzotto, M.; Schein Cavalheiro Correa, M.; Dapper E Silva, T.","Design, Implementation and Validation of a Multipurpose Localization Service for Cooperative Multi-UAV Systems","","","","10.1109/ICUAS48674.2020.9213898","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85094956495&doi=10.1109%2fICUAS48674.2020.9213898&partnerID=40&md5=644abb5107499b3ed4f43cac17021dc3","","2020","2022-05-04 14:46:27","2022-05-15 20:08:47","","295-302","","","","","","","","","","","","","","","","Scopus","","","","","<p>Cited By :4</p>; <p>Export Date: 4 May 2022</p>","","","excluded; not an application","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2020 International Conference on Unmanned Aircraft Systems, ICUAS 2020","","","","","","","","","","","","","","",""
"ADFP5ZT8","journalArticle","2020","Potrykus, S.; Kutt, F.; Nieznanski, J.; Morales, F.J.F.","Advanced lithium-ion battery model for power system performance analysis","Energies","","","10.3390/en13102411","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085170024&doi=10.3390%2fen13102411&partnerID=40&md5=f2dc23f669bc6bcf7cfd9da91c8c82df","","2020","2022-05-11 16:16:57","2022-05-15 20:08:40","","","","10","13","","","","","","","","","","","","","Scopus","","","","","<p>Cited By :11</p>; <p>Export Date: 11 May 2022</p>; <p>https://www.mdpi.com/1996-1073/13/10/2411/pdf</p>","C:\Users\Work\Zotero\storage\IL9HIED7\Potrykus et al. - 2020 - Advanced Lithium-Ion Battery Model for Power Syste.pdf","","excluded; not an application","battery modelling; lithium-ion batteries","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BII4WSZU","journalArticle","2020","Pourakbari-Kasmaei, M.; Lehtonen, M.; Contreras, J.; Mantovani, J.R.S.","Carbon footprint management: A pathway toward smart emission abatement","IEEE Transactions on Industrial Informatics","","","10.1109/TII.2019.2922394","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85078404911&doi=10.1109%2fTII.2019.2922394&partnerID=40&md5=275176eaeb3623ccff7529388b68b534","","2020","2022-05-04 14:35:45","2022-05-15 20:08:12","","935-948","","2","16","","","","","","","","","","","","","Scopus","","","","","<p>Cited By :7</p>; <p>Export Date: 4 May 2022</p>; <p>https://research.aalto.fi/files/36367572/ELEC_Pourakbari_Kasmaei_etal_Carbon_Footprint_IEEETraIndInf_2019_finalacceptedmanuscript.pdf</p>","","","excluded; not an application","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PX8UQXKZ","bookSection","2020","Pradhan, Moumita; Roy, Provas Kumar; Pal, Tandra","Multi-Objective Short-Term Hydro-Thermal Scheduling Using Meta-Heuristic Approaches","Handbook of Research on Advancements of Swarm Intelligence Algorithms for Solving Real-World Problems","","","","https://app.dimensions.ai/details/publication/pub.1126741684","Every day humans face new challenges to survive in this world. It is a big challenge to utilize hydro and thermal generating unit properly. Researchers are trying to explore new techniques to improve scheduling of generating units. Environmental matter is a big issue to modern society. This chapter suggests a well-organized and effective approach using concept of grey wolf optimization (GWO) to deal with non-linear, multi-objective, short-term, hydro-thermal scheduling (MOHTS) problem. Moreover, authors have incorporated oppositional based learning (OBL) to enhance characteristics of GWO to achieve solution more consistently and accurately. To explore authenticity of our proposed algorithms, GWO and OGWO (oppositional based GWO) are applied to multi-chain cascade of 4-hydro and 3-thermal test system. Effective constraints like valve-point loading, water discharge, water storage, etc., are considered here. Statistical comparisons with other enlisted heuristic methods are done. The projected methods solve MOHTS problem quickly and efficiently.","2020","2022-05-11 15:23:33","2022-05-15 20:08:06","","382-414","","","","","","","","","","","","","","","","","","","","DOI: 10.4018/978-1-7998-3222-5.ch016","","","","excluded; not an application","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CE25H8HU","conferencePaper","2020","Prieto, P.; Abad, P.; Herrero, J.A.; Gregorio, J.A.; Puente, V.","SPECcast: A Methodology for Fast Performance Evaluation with SPEC CPU 2017 Multiprogrammed Workloads","","","","10.1145/3404397.3404424","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85090593464&doi=10.1145%2f3404397.3404424&partnerID=40&md5=6c504340c52b1a72d5a9bdba7be17c93","","2020","2022-05-11 15:25:59","2022-05-15 20:07:41","","","","","","","","","","","","","","","","","","Scopus","","","","","<p>Cited By :1</p>; <p>Export Date: 11 May 2022</p>","","","excluded; not an application","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","ACM International Conference Proceeding Series","","","","","","","","","","","","","","",""
"K6XIQ2TP","journalArticle","2020","Qi, Y.; Ke, Y.","Fast Path Planning for On-Water Automatic Rescue Intelligent Robot Based on Constant Thrust Artificial Fluid Method","Scientific Programming","","","10.1155/2020/8828039","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85095827792&doi=10.1155%2f2020%2f8828039&partnerID=40&md5=ce5d9ef8e3a7668b940b711b826937e3","","2020","2022-05-04 14:46:40","2022-05-15 20:07:36","","","","","2020","","","","","","","","","","","","","Scopus","","","","","<p>Export Date: 4 May 2022</p>; <p>https://downloads.hindawi.com/journals/sp/2020/8828039.pdf</p>; <p>https://downloads.hindawi.com/journals/sp/2020/8828039.pdf</p>","","","excluded; not an application","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6NXA234M","journalArticle","2020","Qi, Y.; Li, S.; Ke, Y.","Three-Dimensional Path Planning of Constant Thrust Unmanned Aerial Vehicle Based on Artificial Fluid Method","Discrete Dynamics in Nature and Society","","","10.1155/2020/4269193","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85087069332&doi=10.1155%2f2020%2f4269193&partnerID=40&md5=596176283f3b5bf6d5be17d68354e507","","2020","2022-05-04 14:46:42","2022-05-15 20:07:31","","","","","2020","","","","","","","","","","","","","Scopus","","","","","<p>Export Date: 4 May 2022</p>; <p>https://downloads.hindawi.com/journals/ddns/2020/4269193.pdf</p>; <p>https://downloads.hindawi.com/journals/ddns/2020/4269193.pdf</p>","","","excluded; not an application","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CFU925E3","journalArticle","2020","Ramamoorthy, R.; Thangavelu, M.","An improved distance-based ant colony optimization routing for vehicular ad hoc networks","International Journal of Communication Systems","","","10.1002/dac.4502","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85087301258&doi=10.1002%2fdac.4502&partnerID=40&md5=f8df2d77cae1ebde32b98ec49cce1035","","2020","2022-05-04 12:33:19","2022-05-15 20:07:26","","","","14","33","","","","","","","","","","","","","Scopus","","","","","<p>Cited By :6</p>; <p>Export Date: 4 May 2022</p>","","","excluded; not an application","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"62RA9KA9","journalArticle","2020","Ramezanpour, A.; Beam, A.L.; Chen, J.H.; Mashaghi, A.","Statistical physics for medical diagnostics: Learning, inference, and optimization algorithms","Diagnostics","","","10.3390/diagnostics10110972","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85101231022&doi=10.3390%2fdiagnostics10110972&partnerID=40&md5=cafcd4cd0b8df85eb15bb59f2492fd7b","","2020","2022-05-04 12:06:27","2022-05-15 20:07:21","","","","11","10","","","","","","","","","","","","","Scopus","","","","","<p>Cited By :1</p>; <p>Export Date: 4 May 2022</p>; <p>https://www.mdpi.com/2075-4418/10/11/972/pdf</p>","C:\Users\Work\Zotero\storage\U3RIB2B8\Ramezanpour et al. - 2020 - Statistical Physics for Medical Diagnostics Learn.pdf","","excluded; not a primary study","diagnostic process; disease progression; statistical physics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TJXZAITZ","journalArticle","2020","Rashidi Komijan, Alireza; Nasrollahpourniazi, Fatemeh","A new mathematical model for gate assignment problem considering transit passengers and safety constraints: Benders decomposition approach","Journal of Industrial Engineering International","","1735-5702","10.30495/jiei.2020.679270","http://jiei.azad.ac.ir/article_679270.html","Inappropriate gate assignment has some consequences such as flight delays, inefficient usage of resources and customer’s dissatisfaction. Airports are service sectors and provide services to their customers. Passengers and airlines are two main customers of an airport. Current research presents a novel mathematical model for gate assignment problem to minimize customers’ dissatisfaction. In other words, passengers walking time as well as flight delays are minimized in as objective function. In this model, transit and non-transit passengers and also arrival and departure flights are considered. Moreover, operational safety constraints are inserted to avoid collision of large aircraft. The proposed model is solved by Benders decomposition approach. The model is applied in San Francisco International Airport for a 24-hour horizon. The result shows that walking time of non-transit passengers, walking time of transit passengers, delay in departure flights and delay in arrivals include 74.55, 23.32, 0.96 and 1.17 percent of the objective function, respectively.","2020-12-01","2022-05-04 12:02:55","2022-05-15 20:07:18","2022-05-04 12:02:55","82-92","","4","16","","","A new mathematical model for gate assignment problem considering transit passengers and safety constraints","","","","","","","","","","","","jiei.azad.ac.ir","","Publisher: Islamic Azad University, South Tehran Branch","","C:\Users\Work\Zotero\storage\ZAVQGRZH\Rashidi Komijan and Nasrollahpourniazi - 2020 - A new mathematical model for gate assignment probl.pdf","","excluded; not an application","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QUIPYIK9","conferencePaper","2020","Raymond, J.; Ndiaye, N.; Rayaprolu, G.; King, A.D.","Improving performance of logical qubits by parameter tuning and topology compensation","","","","10.1109/QCE49297.2020.00044","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85098000586&doi=10.1109%2fQCE49297.2020.00044&partnerID=40&md5=645ebd96016a0c291327a409955c06b9","","2020","2022-05-11 15:25:57","2022-05-15 20:07:10","","295-305","","","","","","","","","","","","","","","","Scopus","","","","","<p>Cited By :3</p>; <p>Export Date: 11 May 2022</p>; <p>http://arxiv.org/pdf/2006.04913</p>","","","excluded; not an application","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Proceedings - IEEE International Conference on Quantum Computing and Engineering, QCE 2020","","","","","","","","","","","","","","",""
"5X4ET86Z","journalArticle","2020","Richter do Nascimento, C.A.; Mariani, V.C.; Coelho, L.D.S.","Integrative numerical modeling and thermodynamic optimal design of counter-flow plate-fin heat exchanger applying neural networks","International Journal of Heat and Mass Transfer","","","10.1016/j.ijheatmasstransfer.2020.120097","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85087041968&doi=10.1016%2fj.ijheatmasstransfer.2020.120097&partnerID=40&md5=b41f36cc695669950be104375887645b","","2020","2022-05-04 12:40:57","2022-05-15 20:06:54","","","","","159","","","","","","","","","","","","","Scopus","","","","","<p>Cited By :16</p>; <p>Export Date: 4 May 2022</p>","","","excluded; not an application","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"T9FYLXG4","journalArticle","2020","Robert, L.R.; Singh, L.R.S.R.","Economic emission dispatch of hydrothermal-wind using CMQLSPSN technique","IET Renewable Power Generation","","","10.1049/iet-rpg.2019.1232","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85094884136&doi=10.1049%2fiet-rpg.2019.1232&partnerID=40&md5=aeebb32478dee9f96dfdd72f00f316d2","","2020","2022-05-11 15:03:22","2022-05-15 20:06:45","","2680-2692","","14","14","","","","","","","","","","","","","Scopus","","","","","<p>Cited By :1</p>; <p>Export Date: 11 May 2022</p>; <p>https://onlinelibrary.wiley.com/doi/pdfdirect/10.1049/iet-rpg.2019.1232</p>","","","included","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IR8Y84HK","bookSection","2020","Roy, U.","Application of bio-inspired algorithms in shell-and-tube heat exchangers for cost effectiveness","Advanced Analytic and Control Techniques for Thermal Systems with Heat Exchangers","","","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124856907&doi=10.1016%2fB978-0-12-819422-5.00019-0&partnerID=40&md5=52aafd3fed12d3deb4fa8ff059e8e5a3","","2020","2022-05-04 12:41:01","2022-05-15 20:05:19","","413-429","","","","","","","","","","","","","","","","Scopus","","","","DOI: 10.1016/B978-0-12-819422-5.00019-0","<p>Export Date: 4 May 2022</p>","","","excluded; not an application","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BTYWEKGR","bookSection","2020","Roy, Uttam","Chapter 19 Application of bio-inspired algorithms in shell-and-tube heat exchangers for cost effectiveness","Advanced Analytic and Control Techniques for Thermal Systems with Heat Exchangers","","","","https://app.dimensions.ai/details/publication/pub.1129604374","The shell-and-tube heat exchanger (STHX) has been proven as a common and essential device for various thermal systems used in industrial applications. The cost of exchangers is considered a prime constraint for users. Researchers and scientists are working in different platforms to minimize the cost of heat exchanger. Many optimization methods have evolved to minimize the cost parameters. In the last decades, bio-inspired optimizations have become widely used by researchers as a reliable technique. In this chapter, some excellent researches are discussed emphasizing economic cost optimization for STHX using bio-inspired algorithms. The focus of the chapter is to find efficient algorithms for energy conservation and comparative analysis to highlight their efficacy. The analysis for case 1, case 2, and case 3 shows that the total cost of STHX can be reduced in the range of 14%–35% (EM, QPSOZ, Elitist-Jaya), 24%–37% (GSA, EM, Elitist-Jaya), and 52%–56% (BBO, EM, PSO) respectively.","2020","2022-05-04 12:42:28","2022-05-15 20:05:08","","413-429","","","","","","","","","","","","","","","","","","","","DOI: 10.1016/b978-0-12-819422-5.00019-0","","","","excluded; not a primary study","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZWZZSCB8","journalArticle","2020","Sabir, Z.; Amin, F.; Pohl, D.; Guirao, J.L.G.","Intelligence computing approach for solving second order system of Emden-Fowler model","Journal of Intelligent and Fuzzy Systems","","","10.3233/JIFS-179813","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85087982235&doi=10.3233%2fJIFS-179813&partnerID=40&md5=e7618913ffca895c693f3ef7a714ada2","","2020","2022-05-04 12:22:46","2022-05-15 20:05:04","","7391-7406","","6","38","","","","","","","","","","","","","Scopus","","","","","<p>Cited By :21</p>; <p>Export Date: 4 May 2022</p>","","","excluded; not an application","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZUQ9A6SL","conferencePaper","2020","Sahai, T.; Mishra, A.; Pasini, J.M.; Jha, S.","Estimating the density of states of boolean satisfiability problems on classical and quantum computing platforms","","","","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85090257648&partnerID=40&md5=fe19b1a3dfb4e20de0b725f12ebab357","","2020","2022-05-11 15:26:07","2022-05-15 20:04:57","","1627-1635","","","","","","","","","","","","","","","","Scopus","","","","","<p>Cited By :1</p>; <p>Export Date: 11 May 2022</p>","","","excluded; not an application","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","AAAI 2020 - 34th AAAI Conference on Artificial Intelligence","","","","","","","","","","","","","","",""
"APMVQGUT","conferencePaper","2020","Sahoo, A.K.; Kumar Panigrahi, T.; Nayak, G.K.; Paramguru, J.","Enhanced Particle Swarm Optimization applied to non-convex and non-smooth economic dispatch problem","","","","10.1109/ICCSEA49143.2020.9132904","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85089776753&doi=10.1109%2fICCSEA49143.2020.9132904&partnerID=40&md5=4749fa39c63b230261a4cf1dca867525","","2020","2022-05-11 14:18:30","2022-05-15 20:04:47","","","","","","","","","","","","","","","","","","Scopus","","","","","<p>Export Date: 11 May 2022</p>","","","excluded; not an application","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2020 International Conference on Computer Science, Engineering and Applications, ICCSEA 2020","","","","","","","","","","","","","","",""
